ORF	Counts	Sample
KLMA_10733	619	SK10
KLMA_10734	1582	SK10
KLMA_10735	2717	SK10
KLMA_10736	407	SK10
KLMA_10737	603	SK10
KLMA_10738	2249	SK10
KLMA_10739	2562	SK10
KLMA_10740	233	SK10
KLMA_10741	72	SK10
KLMA_10742	3160	SK10
KLMA_10743	671	SK10
KLMA_10744	1949	SK10
KLMA_10745	585	SK10
KLMA_10746	593	SK10
KLMA_10747	568	SK10
KLMA_10748	999	SK10
KLMA_10749	1701	SK10
KLMA_10750	211	SK10
KLMA_10751	449	SK10
KLMA_10752	380	SK10
KLMA_10753	691	SK10
KLMA_10754	256	SK10
KLMA_10755	1038	SK10
KLMA_10756	925	SK10
KLMA_10757	114	SK10
KLMA_10758	5990	SK10
KLMA_10759	0	SK10
KLMA_10760	11	SK10
KLMA_10761	1487	SK10
KLMA_10762	717	SK10
KLMA_10763	89343	SK10
KLMA_10764	643	SK10
KLMA_10765	7328	SK10
KLMA_10766	473	SK10
KLMA_10767	584	SK10
KLMA_10768	481	SK10
KLMA_10769	42994	SK10
KLMA_10770	58123	SK10
KLMA_10771	427	SK10
KLMA_10772	3059	SK10
KLMA_10773	84	SK10
KLMA_10774	800	SK10
KLMA_10775	61	SK10
KLMA_10776	374	SK10
KLMA_10777	946	SK10
KLMA_10778	860	SK10
KLMA_10779	3059	SK10
KLMA_10780	642	SK10
KLMA_10781	109	SK10
KLMA_10782	104	SK10
KLMA_10783	246	SK10
KLMA_10784	818	SK10
KLMA_10786	69940	SK10
KLMA_10787	1887	SK10
KLMA_10788	706	SK10
KLMA_10789	466	SK10
KLMA_10791	1791	SK10
KLMA_10793	1463	SK10
KLMA_10794	682	SK10
KLMA_10795	9103	SK10
KLMA_10796	870	SK10
KLMA_10797	395	SK10
KLMA_10798	595	SK10
KLMA_10799	492	SK10
KLMA_10800	727	SK10
KLMA_10802	398	SK10
KLMA_10803	148	SK10
KLMA_10804	394	SK10
KLMA_10805	1052	SK10
KLMA_10806	49	SK10
KLMA_10807	436	SK10
KLMA_10808	319	SK10
KLMA_10809	1781	SK10
KLMA_10810	1769	SK10
KLMA_10811	1842	SK10
KLMA_10812	1153	SK10
KLMA_10813	9234	SK10
KLMA_10814	386	SK10
KLMA_10815	169	SK10
KLMA_10816	122	SK10
KLMA_10817	140	SK10
KLMA_10818	134	SK10
KLMA_10819	648	SK10
KLMA_10820	651	SK10
KLMA_10821	1381	SK10
KLMA_10822	493	SK10
KLMA_10824	432	SK10
KLMA_10826	468	SK10
KLMA_10827	747	SK10
KLMA_10828	362	SK10
KLMA_10829	3567	SK10
KLMA_10830	1418	SK10
KLMA_10831	836	SK10
KLMA_10832	23955	SK10
KLMA_10833	9507	SK10
KLMA_10834	174	SK10
KLMA_10835	164	SK10
KLMA_10836	225	SK10
KLMA_10837	0	SK10
KLMA_10838	336	SK10
KLMA_20001	0	SK10
KLMA_20002	548	SK10
KLMA_20003	140	SK10
KLMA_20004	1762	SK10
KLMA_20005	148	SK10
KLMA_20006	116	SK10
KLMA_20007	68	SK10
KLMA_20008	117	SK10
KLMA_20009	198	SK10
KLMA_20010	260	SK10
KLMA_20011	48	SK10
KLMA_20012	66	SK10
KLMA_20013	159	SK10
KLMA_20014	2093	SK10
KLMA_20015	193	SK10
KLMA_20016	1246	SK10
KLMA_20017	503	SK10
KLMA_20018	239	SK10
KLMA_20019	298	SK10
KLMA_20020	735	SK10
KLMA_20021	1744	SK10
KLMA_20022	600	SK10
KLMA_20023	6683	SK10
KLMA_20024	746	SK10
KLMA_20025	1358	SK10
KLMA_20026	2225	SK10
KLMA_20027	6	SK10
KLMA_20028	438	SK10
KLMA_20029	684	SK10
KLMA_20030	540	SK10
KLMA_20031	706	SK10
KLMA_20032	176	SK10
KLMA_20033	1589	SK10
KLMA_20035	609	SK10
KLMA_20036	239	SK10
KLMA_20037	404	SK10
KLMA_20038	209	SK10
KLMA_20039	54	SK10
KLMA_20040	910	SK10
KLMA_20041	80	SK10
KLMA_20042	4108	SK10
KLMA_20043	157	SK10
KLMA_20044	71	SK10
KLMA_20045	981	SK10
KLMA_20046	3068	SK10
KLMA_20047	189	SK10
KLMA_20048	530	SK10
KLMA_20049	2527	SK10
KLMA_20050	282	SK10
KLMA_20051	137	SK10
KLMA_20052	516	SK10
KLMA_20053	35730	SK10
KLMA_20054	54333	SK10
KLMA_20055	49	SK10
KLMA_20056	236	SK10
KLMA_20057	260	SK10
KLMA_20058	25	SK10
KLMA_20059	1350	SK10
KLMA_20060	538	SK10
KLMA_20061	904	SK10
KLMA_20062	863	SK10
KLMA_20063	2542	SK10
KLMA_20064	39	SK10
KLMA_20065	16	SK10
KLMA_20067	220	SK10
KLMA_20068	1887	SK10
KLMA_20069	895	SK10
KLMA_20070	239	SK10
KLMA_20071	736	SK10
KLMA_20072	590	SK10
KLMA_20073	499	SK10
KLMA_20074	8301	SK10
KLMA_20075	7300	SK10
KLMA_20076	85	SK10
KLMA_20077	492	SK10
KLMA_20078	1664	SK10
KLMA_20079	1157	SK10
KLMA_20080	181	SK10
KLMA_20081	1148	SK10
KLMA_20082	798	SK10
KLMA_20083	303	SK10
KLMA_20084	3283	SK10
KLMA_20085	1609	SK10
KLMA_20086	3023	SK10
KLMA_20087	267	SK10
KLMA_20088	881	SK10
KLMA_20089	148	SK10
KLMA_20090	309	SK10
KLMA_20091	24588	SK10
KLMA_20092	135	SK10
KLMA_20093	2278	SK10
KLMA_20094	1358	SK10
KLMA_20095	2497	SK10
KLMA_20096	544	SK10
KLMA_20097	177	SK10
KLMA_20098	610257	SK10
KLMA_20099	238	SK10
KLMA_20100	6171	SK10
KLMA_20101	86	SK10
KLMA_20102	1509	SK10
KLMA_20103	7	SK10
KLMA_20104	63	SK10
KLMA_20105	4410	SK10
KLMA_20106	4702	SK10
KLMA_20107	176	SK10
KLMA_20108	836	SK10
KLMA_20109	2888	SK10
KLMA_20110	597	SK10
KLMA_20111	661	SK10
KLMA_20112	1609	SK10
KLMA_20113	607	SK10
KLMA_20114	2097	SK10
KLMA_20115	273	SK10
KLMA_20116	1087	SK10
KLMA_20117	111	SK10
KLMA_20118	309	SK10
KLMA_20119	122	SK10
KLMA_20120	155	SK10
KLMA_20121	1380	SK10
KLMA_20122	763	SK10
KLMA_20123	567	SK10
KLMA_20124	24	SK10
KLMA_20125	334	SK10
KLMA_20126	244	SK10
KLMA_20128	104	SK10
KLMA_20129	489	SK10
KLMA_20130	1054	SK10
KLMA_20131	2261	SK10
KLMA_20132	20813	SK10
KLMA_20133	267	SK10
KLMA_20135	1050	SK10
KLMA_20136	102	SK10
KLMA_20137	562	SK10
KLMA_20138	329	SK10
KLMA_20139	85	SK10
KLMA_20140	46	SK10
KLMA_20141	342	SK10
KLMA_20143	508	SK10
KLMA_20144	537	SK10
KLMA_20145	193	SK10
KLMA_20146	191	SK10
KLMA_20147	509	SK10
KLMA_20148	1510	SK10
KLMA_20149	947	SK10
KLMA_20150	1268	SK10
KLMA_20151	131	SK10
KLMA_20152	393	SK10
KLMA_20153	246	SK10
KLMA_20154	1616	SK10
KLMA_20155	4965	SK10
KLMA_20156	1603	SK10
KLMA_20157	736	SK10
KLMA_20158	3971	SK10
KLMA_20159	218	SK10
KLMA_20160	163	SK10
KLMA_20161	778	SK10
KLMA_20162	554	SK10
KLMA_20163	295	SK10
KLMA_20164	91	SK10
KLMA_20165	19314	SK10
KLMA_20166	746	SK10
KLMA_20168	7252	SK10
KLMA_20169	13692	SK10
KLMA_20170	609	SK10
KLMA_20171	96	SK10
KLMA_20172	4415	SK10
KLMA_20173	590	SK10
KLMA_20174	61	SK10
